Addam_Marbrand:'siblings':[]| 'fmc':[['Damon_Marbrand'], []]| 'love':[]
Aegor_Rivers:'siblings':['Daeron_II_Targaryen', 'Alysanne_(daughter_of_Aegon_IV)', 'Lily', 'Willow_(daughter_of_Aegon_IV)', 'Rosey_(daughter_of_Aegon_IV)', 'Bellanora_Otherys', 'Narha_Otherys', 'Balerion_Otherys', 'Daemon_Blackfyre', 'Mya_Rivers', 'Gwenys_Rivers', 'Brynden_Rivers', 'Shiera_Seastar']| 'fmc':[['Aegon_IV_Targaryen'], []]| 'love':['Calla_Blackfyre']
Aelyx_Targaryen:'siblings':['Baelon_Targaryen_(son_of_Aerys)', 'Daemion_Targaryen']| 'fmc':[['Aerys_Targaryen_(son_of_Aegon)'], []]| 'love':[]
Aemma_Arryn:'siblings':[]| 'fmc':[['Daella_Targaryen_(daughter_of_Jaehaerys_I)'], ['Rhaenyra_Targaryen', 'Baelon_Targaryen_(son_of_Viserys_I)']]| 'love':['Viserys_I_Targaryen']
Aemon_(wildling):'siblings':[]| 'fmc':[[], []]| 'love':[]
Aemon_Blackfyre:'siblings':['Aegon_Blackfyre', 'Haegon_Blackfyre', 'Calla_Blackfyre']| 'fmc':[['Daemon_I_Blackfyre'], []]| 'love':[]
Aemon_Targaryen_(Son_of_Jaehaerys_I):'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Alyssa_Targaryen', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], []]| 'love':[]
Aemon_Targaryen_(Son_of_Maekar_I):'siblings':['Aerion_Targaryen', 'Daeron_Targaryen', 'Daella_Targaryen_(daughter_of_Maekar_I)', 'Aegon_V_Targaryen', 'Rhae_Targaryen']| 'fmc':[['Maekar_I_Targaryen', 'Dyanna_Dayne'], []]| 'love':[]
Aemond_Targaryen:'siblings':['Rhaenyra_Targaryen', 'Aegon_II_Targaryen', 'Helaena_Targaryen', 'Daeron_Targaryen_(the_Daring)']| 'fmc':[['Viserys_I_Targaryen', 'Alicent_Hightower'], []]| 'love':[]
Aenar_Targaryen:'siblings':[]| 'fmc':[[], ['Daenys_Targaryen', 'Gaemon_Targaryen_(son_of_Aenar)']]| 'love':[]
Aenys_Frey:'siblings':['Stevron_Frey', 'Emmon_Frey', 'Jared_Frey', 'Luceon_Frey', 'Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey', 'Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey', 'Perwyn_Frey', 'Willamen_Frey', 'Olyvar_Frey', 'Roslin_Frey', 'Arwyn_Frey', 'Wendel_Frey', 'Colmar_Frey', 'Waltyr_Frey', 'Elmar_Frey', 'Shirei_Frey', 'Walder_Rivers']| 'fmc':[['Walder_Frey', 'Perra_Royce'], ['Aegon_Frey_(son_of_Aenys)', 'Rhaegar_Frey']]| 'love':['Tyana_Wylde']
Aerea_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aerion_Targaryen:'siblings':['Daella_Targaryen_(daughter_of_Maekar_I)', 'Rhae_Targaryen', 'Aegon_V_Targaryen']| 'fmc':[['Maekar_I_Targaryen', 'Dyanna_Dayne'], ['Maegor_Targaryen_(son_of_Aerion)']]| 'love':['Daenora_Targaryen']
Aerion_Targaryen_(son_of_Daemion):'siblings':[]| 'fmc':[['Daemion_Targaryen'], ['Aegon_I_Targaryen', 'Visenya_Targaryen', 'Rhaenys_Targaryen', 'Orys_Baratheon']]| 'love':['Valaena_Velaryon']
Aeron_Greyjoy:'siblings':['Balon_Greyjoy', 'Harlon_Greyjoy', 'Quenton_Greyjoy', 'Donel_Greyjoy', 'Euron_Greyjoy', 'Victarion_Greyjoy', 'Urrigon_Greyjoy', 'Robin_Greyjoy']| 'fmc':[['Quellon_Greyjoy'], []]| 'love':[]
Aeryn_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aerys_Targaryen_(son_of_Aegon):'siblings':['Maegon_Targaryen']| 'fmc':[['Aegon_Targaryen_(son_of_Gaemon)', 'Elaena_Targaryen_(daughter_of_Gaemon)'], ['Aelyx_Targaryen', 'Baelon_Targaryen_(son_of_Aerys)', 'Daemion_Targaryen']]| 'love':[]
Aethan_Velaryon:'siblings':[]| 'fmc':[[], ['Alyssa_Velaryon']]| 'love':['Alarra_Massey']
Aethelmure:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aggo:'siblings':[]| 'fmc':[[], []]| 'love':[]
Agnes_Blackwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aladale_Wynch:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aladore_Florent:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alan_Beesbury:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alan_o%27_the_Oak:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alan_Tarly:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alannys_Harlaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alaric_Stark:'siblings':['Walton_Stark_(Son_of_Brandon)']| 'fmc':[['Brandon_Stark_(Father_of_Walton)'], ['Alarra_Stark']]| 'love':['House_Mormont']
Alarra_Massey:'siblings':[]| 'fmc':[[], ['Alyssa_Velaryon']]| 'love':['Aethan_Velaryon']
Alarra_Stark:'siblings':[]| 'fmc':[['Alaric_Stark'], []]| 'love':[]
Alayaya:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alayne_Royce:'siblings':[]| 'fmc':[[], []]| 'love':[]
Albar_Royce:'siblings':[]| 'fmc':[[], []]| 'love':[]
Albett:'siblings':[]| 'fmc':[[], []]| 'love':[]
Albin_Massey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alchemist:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alekyne_Florent:'siblings':['Melessa_Florent', 'Rhea_Florent']| 'fmc':[['Alester_Florent'], []]| 'love':[]
Alerie_Hightower:'siblings':[]| 'fmc':[[], ['Willas_Tyrell', 'Garlan_Tyrell', 'Loras_Tyrell', 'Margaery_Tyrell']]| 'love':['Mace_Tyrell']
Alester_Florent:'siblings':['Axell_Florent', 'Ryam_Florent', 'Colin_Florent', 'Rylene_Florent']| 'fmc':[[], ['Melessa_Florent', 'Alekyne_Florent', 'Rhea_Florent']]| 'love':['Melara_Crane']
Alester_Norcross:'siblings':['Edric_Storm', 'Renly_Norcross']| 'fmc':[['Hosman_Norcross', 'Delena_Florent'], []]| 'love':[]
Alester_Oakheart:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alfyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alfyn_(Septon):'siblings':[]| 'fmc':[[], []]| 'love':[]
Alicent_Hightower:'siblings':[]| 'fmc':[[], ['Aegon_II_Targaryen', 'Helaena_Targaryen', 'Aemond_Targaryen', 'Daeron_Targaryen_(the_Daring)']]| 'love':['Viserys_I_Targaryen']
All-for-Joffrey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Allar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Allar_Deem:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alleras:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alliser_Thorne:'siblings':[]| 'fmc':[[], []]| 'love':[]
Allyria_Dayne:'siblings':['Ashara_Dayne', 'Arthur_Dayne']| 'fmc':[[], []]| 'love':[]
Alton_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alvyn_Sharp:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyce_Graceford:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn_Blackwood:'siblings':['Brynden_Blackwood', 'Lucas_Blackwood', 'Hoster_Blackwood', 'Edmund_Blackwood', 'Bethany_Blackwood', 'Robert_Blackwood']| 'fmc':[['Tytos_Blackwood'], []]| 'love':[]
Alyn_Bullock:'siblings':['Howard_Bullock']| 'fmc':[['Merrell_Bullock'], []]| 'love':[]
Alyn_Cockshaw:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn_Connington:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn_Frey:'siblings':['Ryella_Frey', 'Androw_Frey', 'Hostella_Frey']| 'fmc':[['Androw_Frey', 'Ryella_Royce'], []]| 'love':[]
Alyn_Haigh:'siblings':['Harys_Haigh', 'Donnel_Haigh']| 'fmc':[['Leslyn_Haigh'], []]| 'love':[]
Alyn_Marbrand:'siblings':[]| 'fmc':[[], ['Jeyne_Marbrand']]| 'love':[]
Alyn_Orkwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn_Stackspear:'siblings':['Steffon_Stackspear']| 'fmc':[['Selmond_Stackspear'], []]| 'love':[]
Alyn_Stokeworth:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alyn_Tarbeck:'siblings':[]| 'fmc':[[], []]| 'love':['Jeyne_Westerling_(wife_of_Maegor_I)']
Alys_Beesbury:'siblings':[]| 'fmc':[[], []]| 'love':['Leo_Tyrell_(son_of_Victor)']
Alys_Karstark:'siblings':[]| 'fmc':[[], []]| 'love':[]
Alys_Karstark_(Wife_of_Brandon):'siblings':[]| 'fmc':[[], ['Rodwell_Stark', 'Beron_Stark', 'Arsa_Stark']]| 'love':['Brandon_Stark_(Son_of_Cregan)']
Alys_Oakheart:'siblings':[]| 'fmc':[[], []]| 'love':['Jon_Cafferen']
Alys_Rivers:'siblings':[]| 'fmc':[['Lyonel_Strong'], []]| 'love':['Aemond_Targaryen']
Alys_Stackspear:'siblings':[]| 'fmc':[[], ['Damon_Lannister_(son_of_Jason)']]| 'love':['Jason_Lannister_(son_of_Gerold)']
Alys_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Barthogan_Stark', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Alysanne_Blackwood'], []]| 'love':[]
Alysanne_(daughter_of_Aegon_IV):'siblings':[]| 'fmc':[[], []]| 'love':[]
Alysanne_Blackwood:'siblings':[]| 'fmc':[[], ['Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark']]| 'love':['Cregan_Stark']
Alysanne_Bracken:'siblings':['Barbara_Bracken', 'Jayne_Bracken', 'Catelyn_Bracken', 'Bess_Bracken']| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Alysanne_Bulwer:'siblings':[]| 'fmc':[['Jon_Bulwer', 'Victaria_Tyrell'], []]| 'love':[]
Alysanne_Farman:'siblings':[]| 'fmc':[[], []]| 'love':['Gerold_Lannister']
Alyssa_Blackwood:'siblings':[]| 'fmc':[[], ['Lothar_Frey', 'Jammos_Frey', 'Whalen_Frey', 'Morya_Frey', 'Tyta_Frey']]| 'love':['Walder_Frey']
Alyssa_Targaryen:'siblings':['Aegon_Targaryen_(Son_of_Jaehaerys_I)', 'Daenerys_Targaryen_(Daughter_of_Jaehaerys_I)', 'Aemon_Targaryen_(Son_of_Jaehaerys_I)', 'Maegelle_Targaryen', 'Vaegon_Targaryen', 'Daella_Targaryen_(Daughter_of_Jaehaerys_I)', 'Saera_Targaryen', 'Viserra_Targaryen', 'Gaemon_Targaryen_(Son_of_Jaehaerys_I)', 'Valerion_Targaryen', 'Gael_Targaryen']| 'fmc':[['Jaehaerys_I_Targaryen', 'Alysanne_Targaryen'], ['Viserys_I_Targaryen', 'Daemon_Targaryen', 'Aegon_Targaryen_(Son_of_Baelon)']]| 'love':[]
Alyssa_Velaryon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Amarei_Crakehall:'siblings':[]| 'fmc':[[], ['Hosteen_Frey', 'Lythene_Frey', 'Symond_Frey', 'Danwell_Frey', 'Merrett_Frey', 'Geremy_Frey', 'Raymund_Frey']]| 'love':['Walder_Frey']
Amerei_Frey:'siblings':['Fat_Walda_Frey', 'Little_Walder_Frey']| 'fmc':[['Merrett_Frey', 'Mariya_Darry'], []]| 'love':['Pate_of_the_Blue_Fork', 'Lancel_Lannister']
Amory_Lorch:'siblings':[]| 'fmc':[[], []]| 'love':[]
Amos_Bracken:'siblings':['Raylon_Rivers']| 'fmc':[['Humfrey_Bracken'], []]| 'love':[]
Andar_Royce:'siblings':['Robar_Royce', 'Waymar_Royce']| 'fmc':[['Yohn_Royce'], []]| 'love':[]
Andrey_Charlton:'siblings':[]| 'fmc':[[], []]| 'love':[]
Andrey_Dalt:'siblings':['Deziel_Dalt']| 'fmc':[[], []]| 'love':[]
Andrik:'siblings':[]| 'fmc':[[], []]| 'love':[]
Andros_Brax:'siblings':['Rupert_Brax']| 'fmc':[[], ['Tytos_Brax', 'Robert_Brax', 'Flement_Brax']]| 'love':[]
Androw_Ashford:'siblings':['Robert_Ashford']| 'fmc':[[], []]| 'love':[]
Androw_Farman:'siblings':['Franklyn_Farman']| 'fmc':[['Marq_Farman'], []]| 'love':['Rhaena_Targaryen']
Androw_Frey:'siblings':['Ryella_Frey', 'Alyn_Frey', 'Hostella_Frey']| 'fmc':[['Arwood_Frey', 'Ryella_Royce'], []]| 'love':[]
Anguy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Annara_Farring:'siblings':[]| 'fmc':[[], []]| 'love':[]
Antario_Jast:'siblings':[]| 'fmc':[[], []]| 'love':['Lanna_Lannister']
Anya_Waynwood:'siblings':[]| 'fmc':[[], ['Donnel_Waynwood']]| 'love':[]
Archon%27s_Daughter_(Jaehaerys_I):'siblings':[]| 'fmc':[[], []]| 'love':['Orryn_Baratheon']
Ardrian_Celtigar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aregelle_Stark:'siblings':['Cregard_Stark', 'Torrhen_Stark_(Son_of_Edric)', 'Arrana_Stark']| 'fmc':[['Edric_Stark_(Son_of_Cregan)', 'Serena_Stark'], []]| 'love':['Robard_Cerwyn']
Areo_Hotah:'siblings':[]| 'fmc':[[], []]| 'love':[]
Argella_Durrandon:'siblings':[]| 'fmc':[['Argilac_Durrandon'], ['Davos_Baratheon']]| 'love':['Orys_Baratheon']
Arianne_Martell:'siblings':['Quentyn_Martell', 'Trystane_Martell']| 'fmc':[['Doran_Martell', 'Mellario_of_Norvos'], []]| 'love':['Arys_Oakheart']
Arlan_of_Pennytree:'siblings':[]| 'fmc':[[], []]| 'love':[]
Armen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Armond_Caswell:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aron_Santagar:'siblings':[]| 'fmc':[[], []]| 'love':[]
Arra_Norrey:'siblings':[]| 'fmc':[[], ['Rickon_Stark_(Son_of_Cregan)']]| 'love':['Cregan_Stark']
Arrana_Stark:'siblings':['Cregard_Stark', 'Torrhen_Stark_(Son_of_Edric)', 'Aregelle_Stark']| 'fmc':[['Edric_Stark_(Son_of_Cregan)', 'Serena_Stark'], []]| 'love':['Osric_Umber']
Arrec_Durrandon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Arryk:'siblings':[]| 'fmc':[[], []]| 'love':[]
Arryk_Cargyll:'siblings':['Erryk_Cargyll']| 'fmc':[[], []]| 'love':[]
Jon_Arryn:'siblings':[]| 'fmc':[[], ['Robert_Arryn']]| 'love':['Lysa_Arryn']
Arsa_Stark:'siblings':['Lonnel_Snow', 'Rodwell_Stark', 'Beron_Stark']| 'fmc':[['Brandon_Stark_(Son_of_Cregan)', 'Alys_Karstark_(Wife_of_Brandon)'], []]| 'love':[]
Arstan_Selmy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Arthur_Dayne:'siblings':['Ashara_Dayne', 'Allyria_Dayne']| 'fmc':[[], []]| 'love':[]
Artos_Flint:'siblings':['Donnel_Flint']| 'fmc':[['Torghen_Flint'], []]| 'love':[]
Artos_Stark:'siblings':['Donnor_Stark', 'Willam_Stark', 'Rodrik_Stark_(Son_of_Beron)']| 'fmc':[['Beron_Stark', 'Lorra_Royce'], []]| 'love':[]
Arwood_Frey:'siblings':[]| 'fmc':[['Hosteen_Frey', 'Bellena_Hawick'], ['Ryella_Frey', 'Androw_Frey', 'Alyn_Frey', 'Hostella_Frey']]| 'love':['Ryella_Royce']
Arwyn_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Arya_Flint:'siblings':[]| 'fmc':[[], ['Branda_Stark', 'Lyarra_Stark']]| 'love':['Rodrik_Stark']
Arya_Stark:'siblings':['Robb_Stark', 'Jon_Snow', 'Sansa_Stark', 'Bran_Stark', 'Rickon_Stark']| 'fmc':[['Eddard_Stark', 'Catelyn_Stark'], []]| 'love':[]
Arys_Oakheart:'siblings':[]| 'fmc':[[], []]| 'love':[]
Asha_Greyjoy:'siblings':['Rodrik_Greyjoy', 'Maron_Greyjoy', 'Theon_Greyjoy']| 'fmc':[['Balon_Greyjoy', 'Alannys_Harlaw'], []]| 'love':['Erik_Ironmaker']
Ashara_Dayne:'siblings':['Arthur_Dayne', 'Allyria_Dayne']| 'fmc':[[], ['Jon_Snow']]| 'love':['Eddard_Stark']
Aubrey_Crakehall:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aurane_Waters:'siblings':[]| 'fmc':[[], []]| 'love':[]
Aurion:'siblings':[]| 'fmc':[[], []]| 'love':[]
Axell_Florent:'siblings':['Alester_Florent', 'Ryam_Florent', 'Colin_Florent', 'Rylene_Florent']| 'fmc':[[], []]| 'love':[]
Ayrmidon:'siblings':[]| 'fmc':[[], []]| 'love':[]
Azor_Ahai:'siblings':[]| 'fmc':[[], []]| 'love':[]
Baelon_Targaryen:'siblings':[]| 'fmc':[[], []]| 'love':[]
Baelon_Targaryen_(son_of_Aerys):'siblings':['Aelyx_Targaryen', 'Daemion_Targaryen']| 'fmc':[['Aerys_Targaryen_(son_of_Aegon)'], []]| 'love':[]
Baelon_Targaryen_(son_of_Viserys_I):'siblings':['Rhaenyra_Targaryen', 'Aegon_I_Targaryen', 'Helaena_Targaryen', 'Aemond_Targaryen', 'Daeron_Targaryen']| 'fmc':[['Viserys_I_Targaryen', 'Aemma_Arryn'], []]| 'love':[]
Baelor_Blacktyde:'siblings':[]| 'fmc':[[], []]| 'love':[]
Baelor_I_Targaryen:'siblings':['Daena_Targaryen', 'Elaena_Targaryen', 'Daeron_I_Targaryen']| 'fmc':[['Aegon_III_Targaryen', 'Daenaera_Velaryon'], []]| 'love':['Daena_Targaryen']
Balaq:'siblings':[]| 'fmc':[[], []]| 'love':[]
Balerion_Otherys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Balman_Byrch:'siblings':[]| 'fmc':[[], []]| 'love':['Falyse_Stokeworth']
Balon_Botley:'siblings':['Quellon_Botley']| 'fmc':[['Germund_Botley'], []]| 'love':[]
Balon_Swann:'siblings':[]| 'fmc':[[], []]| 'love':[]
Balon_Tawney:'siblings':[]| 'fmc':[[], []]| 'love':[]
Balon_V_Greyjoy:'siblings':[]| 'fmc':[[], []]| 'love':[]
Renly_Baratheon:'siblings':['Robert_I_Baratheon', 'Stannis_Baratheon']| 'fmc':[['Steffon_Baratheon', 'Cassana_Estermont'], []]| 'love':['Margaery_Tyrell', 'Loras_Tyrell']
Barbara_Bracken:'siblings':['Jayne_Bracken', 'Catelyn_Bracken', 'Bess_Bracken', 'Alysanne_Bracken']| 'fmc':[['Jonos_Bracken'], []]| 'love':[]
Barbrey_Dustin:'siblings':[]| 'fmc':[[], []]| 'love':['#cite_note-Raffcappendix-1', 'Brandon_Stark']
Barneby:'siblings':[]| 'fmc':[[], []]| 'love':[]
Barra:'siblings':['Mya_Stone', 'Bella', 'Gendry', 'Edric_Storm']| 'fmc':[['Robert_I_Baratheon'], []]| 'love':[]
Barre:'siblings':[]| 'fmc':[[], []]| 'love':[]
Barristan_Selmy:'siblings':[]| 'fmc':[['Lyonel_Selmy'], []]| 'love':[]
Barthogan_Stark:'siblings':['Rickon_Stark_(Son_of_Cregan)', 'Sarra_Stark', 'Alys_Stark', 'Raya_Stark', 'Mariah_Stark', 'Jonnel_Stark', 'Edric_Stark_(Son_of_Cregan)', 'Lyanna_Stark_(Daughter_of_Cregan)', 'Brandon_Stark_(Son_of_Cregan)']| 'fmc':[['Cregan_Stark', 'Lynara_Stark'], []]| 'love':[]
Bass:'siblings':[]| 'fmc':[[], []]| 'love':[]
Category:Bastards:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bella:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bellanora_Otherys:'siblings':[]| 'fmc':[[], []]| 'love':[]
Bellegere_Otherys:'siblings':[]| 'fmc':[[], ['Narha_Otherys', 'Balerion_Otherys']]| 'love':[]
Bellegere_Otherys_(courtesan):'siblings':[]| 'fmc':[['Bellonara_Otherys'], []]| 'love':[]
Bellena_Hawick:'siblings':[]| 'fmc':[[], ['Arwood_Frey']]| 'love':['Hosteen_Frey']
Bellonara_Otherys:'siblings':[]| 'fmc':[[], ['Bellegere_Otherys_(courtesan)']]| 'love':[]
Benard_Brune:'siblings':[]| 'fmc':[[], []]| 'love':[]
Benedict_I_Justman:'siblings':[]| 'fmc':[[], ['Benedict_II_Justman']]| 'love':[]
Benedict_II_Justman:'siblings':[]| 'fmc':[['Benedict_I_Justman'], []]| 'love':[]
Benfred_Tallhart:'siblings':['Eddara_Tallhart']| 'fmc':[['Helman_Tallhart'], []]| 'love':[]
Benfrey_Frey:'siblings':[]| 'fmc':[[], []]| 'love':[]
Benifer:'siblings':[]| 'fmc':[[], []]| 'love':[]
Benjen_Stark:'siblings':['Brandon_Stark', 'Eddard_Stark', 'Lyanna_Stark']| 'fmc':[['Rickard_Stark', 'Lyarra_Stark'], []]| 'love':[]
Benjen_Stark_(Lord):'siblings':[]| 'fmc':[[], ['Rickon_Stark_(Son_of_Benjen)', 'Bennard_Stark']]| 'love':['Lysa_Locke']
Benjen_Stark_(Son_of_Bennard):'siblings':['Brandon_Stark_(Son_of_Bennard)', 'Elric_Stark']| 'fmc':[['Bennard_Stark', 'Margaret_Karstark'], []]| 'love':[]
Benjicot_Blackwood:'siblings':[]| 'fmc':[['Samwell_Blackwood'], []]| 'love':[]
Bennard_Stark:'siblings':['Rickon_Stark_(Son_of_Benjen)']| 'fmc':[['Benjen_Stark_(Lord)', 'Lysa_Locke'], ['Benjen_Stark_(Son_of_Bennard)', 'Brandon_Stark_(Son_of_Bennard)', 'Elric_Stark']]| 'love':['Margaret_Karstark']
Bennarion_Botley:'siblings':['Harren_Botley', 'Tristifer_Botley', 'Symond_Botley', 'Harlon_Botley', 'Vickon_Botley']| 'fmc':[['Sawane_Botley'], []]| 'love':[]
Bennifer_Blackwood:'siblings':[]| 'fmc':[[], []]| 'love':[]
Benton_Glover:'siblings':[]| 'fmc':[[], []]| 'love':[]
